research_field,canonical_field,resolution,note
identity.venue,market_identity_version.venue,Versioned alias; no scientific change,Concrete type/nullability in canonical field catalogue; no legacy backfill
identity.market_id,market_identity_version.market_id,Versioned alias; no scientific change,Concrete type/nullability in canonical field catalogue; no legacy backfill
identity.event_id,market_identity_version.event_id,Versioned alias; no scientific change,Concrete type/nullability in canonical field catalogue; no legacy backfill
identity.event_group_id,event_group_membership.event_group_id,Versioned alias; no scientific change,Concrete type/nullability in canonical field catalogue; no legacy backfill
identity.condition_id,condition_identity.condition_id,Versioned alias; no scientific change,Concrete type/nullability in canonical field catalogue; no legacy backfill
identity.question_id,condition_identity.question_id,Versioned alias; no scientific change,Concrete type/nullability in canonical field catalogue; no legacy backfill
identity.token_id,token_outcome_version.token_id,Versioned alias; no scientific change,Concrete type/nullability in canonical field catalogue; no legacy backfill
identity.outcome_index,token_outcome_version.outcome_index,Versioned alias; no scientific change,Concrete type/nullability in canonical field catalogue; no legacy backfill
identity.outcome_label,token_outcome_version.outcome_label,Versioned alias; no scientific change,Concrete type/nullability in canonical field catalogue; no legacy backfill
identity.chain_id,condition_identity.chain_id,Versioned alias; no scientific change,Concrete type/nullability in canonical field catalogue; no legacy backfill
identity.token_contract,token_outcome_version.token_contract,Versioned alias; no scientific change,Concrete type/nullability in canonical field catalogue; no legacy backfill
identity.collateral_address,condition_identity.collateral_address,Versioned alias; no scientific change,Concrete type/nullability in canonical field catalogue; no legacy backfill
identity.collateral_decimals,condition_identity.collateral_decimals,Versioned alias; no scientific change,Concrete type/nullability in canonical field catalogue; no legacy backfill
identity.mapping_version,market_identity_version.mapping_version,Versioned alias; no scientific change,Concrete type/nullability in canonical field catalogue; no legacy backfill
identity.valid_from_at,market_identity_version.valid_from_at,Versioned alias; no scientific change,Concrete type/nullability in canonical field catalogue; no legacy backfill
identity.valid_to_at,market_identity_version.valid_to_at,Versioned alias; no scientific change,Concrete type/nullability in canonical field catalogue; no legacy backfill
identity.observed_from_at,market_identity_version.observed_from_at,Versioned alias; no scientific change,Concrete type/nullability in canonical field catalogue; no legacy backfill
identity.observed_to_at,market_identity_version.observed_to_at,Versioned alias; no scientific change,Interval end derived at query cutoff from append-only supersession records
identity.mapping_confidence,market_identity_version.mapping_confidence,Versioned alias; no scientific change,Concrete type/nullability in canonical field catalogue; no legacy backfill
identity.mapping_evidence_ids,market_identity_version.mapping_evidence_ids,Versioned alias; no scientific change,Concrete type/nullability in canonical field catalogue; no legacy backfill
source_observation.observation_id,source_observation.observation_id,Direct field,Concrete type/nullability in canonical field catalogue; no legacy backfill
source_observation.source_id,source_observation.source_id,Direct field,Concrete type/nullability in canonical field catalogue; no legacy backfill
source_observation.native_record_id,source_observation.native_record_id,Direct field,Concrete type/nullability in canonical field catalogue; no legacy backfill
source_observation.source_event_at,source_observation.source_event_at,Direct field,Concrete type/nullability in canonical field catalogue; no legacy backfill
source_observation.source_published_at,source_observation.source_published_at,Direct field,Concrete type/nullability in canonical field catalogue; no legacy backfill
source_observation.first_available_at,source_observation.first_available_at,Direct field,Concrete type/nullability in canonical field catalogue; no legacy backfill
source_observation.first_received_at,source_observation.first_received_at,Conditional nullability,"Required for prospective capture; nullable unknown_legacy for imports with no receipt evidence. Import ingestion time is actual current time, never fake first receipt."
source_observation.ingested_at,source_observation.ingested_at,Direct field,Concrete type/nullability in canonical field catalogue; no legacy backfill
source_observation.available_to_model_at,source_observation.available_to_model_at,Direct field,Concrete type/nullability in canonical field catalogue; no legacy backfill
source_observation.raw_timestamp,source_observation.raw_timestamp,Direct field,Concrete type/nullability in canonical field catalogue; no legacy backfill
source_observation.timestamp_unit,source_observation.timestamp_unit,Direct field,Concrete type/nullability in canonical field catalogue; no legacy backfill
source_observation.clock_error_bound_ms,source_observation.clock_error_bound_ms,Direct field,Concrete type/nullability in canonical field catalogue; no legacy backfill
source_observation.source_sequence,source_observation.source_sequence,Direct field,Concrete type/nullability in canonical field catalogue; no legacy backfill
source_observation.request_cursor,source_observation.request_cursor,Direct field,Concrete type/nullability in canonical field catalogue; no legacy backfill
source_observation.payload_hash,source_observation.payload_hash,Direct field,Concrete type/nullability in canonical field catalogue; no legacy backfill
source_observation.raw_payload_uri,source_observation.raw_payload_uri,Direct field,Concrete type/nullability in canonical field catalogue; no legacy backfill
source_observation.schema_version,source_observation.schema_version,Direct field,Concrete type/nullability in canonical field catalogue; no legacy backfill
source_observation.parser_version,source_observation.parser_version,Direct field,Concrete type/nullability in canonical field catalogue; no legacy backfill
source_observation.protocol_version,source_observation.protocol_version,Direct field,Concrete type/nullability in canonical field catalogue; no legacy backfill
source_observation.revision_of,source_observation.revision_of,Direct field,Concrete type/nullability in canonical field catalogue; no legacy backfill
source_observation.provenance_class,source_observation.provenance_class,Direct field,Concrete type/nullability in canonical field catalogue; no legacy backfill
source_observation.missing_reason,source_observation.missing_reason,Direct field,Concrete type/nullability in canonical field catalogue; no legacy backfill
source_observation.quality_flags,source_observation.quality_flags,Direct field,Concrete type/nullability in canonical field catalogue; no legacy backfill
source_observation.coverage_fraction,source_observation.coverage_fraction,Direct field,Concrete type/nullability in canonical field catalogue; no legacy backfill
research_origin.origin_id,research_origin.origin_id,Direct field,Concrete type/nullability in canonical field catalogue; no legacy backfill
research_origin.scheduled_origin_at,research_origin.scheduled_origin_at,Direct field,Concrete type/nullability in canonical field catalogue; no legacy backfill
research_origin.feature_cutoff_at,research_origin.feature_cutoff_at,Direct field,Concrete type/nullability in canonical field catalogue; no legacy backfill
research_origin.prediction_origin_at,research_origin.prediction_origin_at,Direct field,Concrete type/nullability in canonical field catalogue; no legacy backfill
research_origin.eligibility_version,research_origin.eligibility_version,Direct field,Concrete type/nullability in canonical field catalogue; no legacy backfill
research_origin.eligibility_reason,research_origin.eligibility_reason,Direct field,Concrete type/nullability in canonical field catalogue; no legacy backfill
research_origin.sampling_arm,research_origin.sampling_arm,Direct field,Concrete type/nullability in canonical field catalogue; no legacy backfill
research_origin.selection_probability,research_origin.selection_probability,Direct field,Concrete type/nullability in canonical field catalogue; no legacy backfill
research_origin.trigger_id,research_origin.trigger_id,Direct field,Concrete type/nullability in canonical field catalogue; no legacy backfill
research_origin.event_group_version,research_origin.event_group_version,Direct field,Concrete type/nullability in canonical field catalogue; no legacy backfill
book_level.snapshot_id,book_level.snapshot_id,Direct field,Concrete type/nullability in canonical field catalogue; no legacy backfill
