entity,field,type,nullable,units,meaning,reference,storage
archive_manifest,artifact_manifest_id,HASH,false,not applicable,Archive file inventory and roots,artifact_manifest.id,stored
archive_manifest,byte_count,INT64,false,not applicable,Stored bytes,,stored
archive_manifest,file_hashes,JSON,false,not applicable,"Object-relative paths, SHA-256 and counts",,stored
archive_manifest,format_version,TEXT,false,not applicable,Codec and typed schema,,stored
archive_manifest,id,HASH,false,not applicable,Stable record key per entity natural key/version recipe,,stored
archive_manifest,missing_fields,JSON,false,not applicable,Field-name to canonical missingness reason; mandatory for every scientifically nullable unknown,,stored
archive_manifest,partition_bounds,JSON,false,not applicable,"Dataset, token/event/time partitions",,stored
archive_manifest,preservation_report_id,HASH,true,not applicable,Full equivalence verification report,artifact_manifest.id,stored
archive_manifest,provenance_class,ENUM,false,not applicable,prospective/reconstructed/synthetic/legacy_unverified,,stored
archive_manifest,recorded_at,UTC,false,UTC microseconds; original precision in source envelope,Time this immutable version was durably recorded,,stored
archive_manifest,restore_report_id,HASH,true,not applicable,Independent reader/restore test,artifact_manifest.id,stored
archive_manifest,row_count,INT64,false,not applicable,Exact row count,,stored
archive_manifest,schema_hash,HASH,false,not applicable,Exact schema version,,stored
archive_manifest,schema_version,TEXT,false,not applicable,Canonical contract version,,stored
archive_manifest,source_manifest_id,HASH,false,not applicable,Original logical table/key set,artifact_manifest.id,stored
archive_manifest,supersedes_id,HASH,true,not applicable,New verification record/version,archive_manifest.id,stored
archive_manifest,verification_state,ENUM,false,not applicable,unverified/verified/failed,,stored
artifact_manifest,available_at,UTC,false,UTC microseconds; original precision in source envelope,When complete manifest available,,stored
artifact_manifest,content_hash,HASH,false,not applicable,Canonical payload digest,,stored
artifact_manifest,id,HASH,false,not applicable,Stable record key per entity natural key/version recipe,,stored
artifact_manifest,manifest_kind,ENUM,false,not applicable,sampling/group/feature/training/split/model/protocol/result/archive/restore/legacy,,stored
artifact_manifest,missing_fields,JSON,false,not applicable,Field-name to canonical missingness reason; mandatory for every scientifically nullable unknown,,stored
artifact_manifest,object_hash,HASH,true,not applicable,Required with URI,,stored
artifact_manifest,object_uri,TEXT,true,not applicable,Optional immutable local/cold artifact,,stored
artifact_manifest,payload,JSON,false,not applicable,Schema-tagged typed object; exact numbers as strings,,stored
artifact_manifest,provenance_class,ENUM,false,not applicable,prospective/reconstructed/synthetic/legacy_unverified,,stored
artifact_manifest,recorded_at,UTC,false,UTC microseconds; original precision in source envelope,Time this immutable version was durably recorded,,stored
artifact_manifest,schema_version,TEXT,false,not applicable,Manifest schema,,stored
book_level,id,HASH,false,not applicable,Stable record key per entity natural key/version recipe,,stored
book_level,level,INT64,false,not applicable,ordered price level,,stored
book_level,missing_fields,JSON,false,not applicable,Field-name to canonical missingness reason; mandatory for every scientifically nullable unknown,,stored
book_level,price_decimal,DECIMAL_TEXT,true,explicit unit field/source contract,lossless parsed price per share,,stored
book_level,price_raw,TEXT,false,not applicable,exact source decimal string,,stored
book_level,provenance_class,ENUM,false,not applicable,prospective/reconstructed/synthetic/legacy_unverified,,stored
book_level,recorded_at,UTC,false,UTC microseconds; original precision in source envelope,Time this immutable version was durably recorded,,stored
book_level,schema_version,TEXT,false,not applicable,Canonical contract version,,stored
book_level,side,ENUM,false,not applicable,bid/ask with source convention,,stored
book_level,size_decimal,DECIMAL_TEXT,true,explicit unit field/source contract,quantity with source units,,stored
book_level,size_raw,TEXT,false,not applicable,exact source decimal string,,stored
book_level,snapshot_id,TEXT,false,not applicable,snapshot/delta reconstruction key,book_snapshot.id,stored
book_level,source_observation_id,HASH,false,not applicable,Exact numerical raw evidence,source_observation.id,stored
book_level,unit,TEXT,false,not applicable,shares/contracts/native amount,,stored
book_snapshot,ask_level_count,INT64,false,not applicable,Actual retained ask levels,,stored
book_snapshot,ask_state,ENUM,false,not applicable,observed/empty/unknown/invalid,,stored
book_snapshot,available_to_model_at,UTC,false,UTC microseconds; original precision in source envelope,No earlier than all reconstruction dependencies,,stored
book_snapshot,bid_level_count,INT64,false,not applicable,Actual retained bid levels,,stored
book_snapshot,bid_state,ENUM,false,not applicable,observed/empty/unknown/invalid,,stored
book_snapshot,book_hash,TEXT,true,not applicable,source hash where supplied,,stored
book_snapshot,delta_observation_ids,ID_LIST,false,not applicable,Ordered raw delta evidence; empty for full snapshot,,stored
book_snapshot,id,HASH,false,not applicable,Stable record key per entity natural key/version recipe,,stored
book_snapshot,missing_fields,JSON,false,not applicable,Field-name to canonical missingness reason; mandatory for every scientifically nullable unknown,,stored
book_snapshot,previous_snapshot_id,HASH,true,not applicable,Reconstruction ancestry,book_snapshot.id,stored
book_snapshot,provenance_class,ENUM,false,not applicable,prospective/reconstructed/synthetic/legacy_unverified,,stored
book_snapshot,quote_age_ms,DECIMAL_TEXT,true,explicit unit field/source contract,age with defined source/receipt semantics,,stored
book_snapshot,quote_age_semantics,ENUM,false,not applicable,venue_update/receipt/unknown,,stored
book_snapshot,reconstruction_status,ENUM,false,not applicable,complete/gap/stale/invalid,,stored
