experiment_id,feature_id,name,hypothesis,null,mechanism,feature_definition,raw_inputs,sources,source_urls,primary_horizon,secondary_horizons,target,eligible_population,sampling_controls,baseline,confounders,primary_test,effective_sample_requirement,validation,falsification,dependencies,cost_difficulty,priority,expected_information_gain,evidence_ids,status
H01,F01,Large trade relative to market liquidity,Size relative to market liquidity predicts continuation beyond prior returns,No prospective improvement over the strongest development-selected price/context baseline on the identical eligible panel; apparent association is explained by listed controls.,"Size relative to market liquidity predicts continuation beyond prior returns; this is a hypothesis, not an established AREPO result.",signed trade notional / pre-trade Gamma liquidity,"trade price,size,side; liquidity value and observation time",PTRADE;PGAMMA,https://docs.polymarket.com/api-reference/data-api/migrating-from-v1 | https://docs.polymarket.com/api-spec/gamma-openapi.yaml,15m,1h;6h,T1 three-class clean midpoint movement; T2 log-odds change secondary,Two-sided markets with a pre-trade liquidity observation,Scheduled eligible-universe sample plus matched untriggered controls; event/time/liquidity/probability matching; inclusion probabilities retained. See shared protocol.,B0 no-change; B1 momentum; B2 price/context model; B3 current AREPO where reproducible; add-feature and leave-family-out comparisons.,Liquidity definition may differ from executable depth; price impact already occurred,Chronological grouped paired-score comparison with event/date-cluster uncertainty; Bayesian partial-pooling effect plus simple/boosted challenger. Magnitude/time/error targets use their prespecified proper loss. No final-test tuning.,"Planning floor 1,000 independent event blocks; final N from paired-loss pilot variance and multiplicity-adjusted 80% power. Rows/fills are not independent events.",V1: expanding chronological development folds with purging by actual label availability; event-group lock; untouched future panel; family FDR discovery then prespecified confirmation.,"At adequate prespecified power, prospective uncertainty excludes the registered minimum useful improvement, or effect disappears with timing/quality controls. Wrong sign rejects signed mechanism. Imprecision is inconclusive, not success.","Clock/identity audit, Feature Store v2, source coverage and baseline panel first. Compare liquidity-normalised size with raw size and depth-normalised size on identical fills.",L: existing-data or low-volume metadata pilot; planned 1-3 researcher-days; estimates exclude elapsed sample accumulation.,P1,High: discriminates a concrete mechanism from price/context or measurement artefact early.,E04;HYP,Designed; not executed; no edge established
H02,F02,Large trade relative to executable depth,Depth-normalised flow predicts later continuation better than absolute size,No prospective improvement over the strongest development-selected price/context baseline on the identical eligible panel; apparent association is explained by listed controls.,"Depth-normalised flow predicts later continuation better than absolute size; this is a hypothesis, not an established AREPO result.",signed trade notional / pre-trade same-side executable notional within 1 percentage point,"fill price,size,side; all book levels before fill",PTRADE;PBOOK,https://docs.polymarket.com/api-reference/data-api/migrating-from-v1 | https://docs.polymarket.com/market-data/realtime-data,5m,15m;1h,T1 three-class clean midpoint movement; T2 log-odds change secondary,Continuous books with sequenced pre-trade state,Scheduled eligible-universe sample plus matched untriggered controls; event/time/liquidity/probability matching; inclusion probabilities retained. See shared protocol.,B0 no-change; B1 momentum; B2 price/context model; B3 current AREPO where reproducible; add-feature and leave-family-out comparisons.,Using post-trade depleted depth creates mechanical endogeneity,Chronological grouped paired-score comparison with event/date-cluster uncertainty; Bayesian partial-pooling effect plus simple/boosted challenger. Magnitude/time/error targets use their prespecified proper loss. No final-test tuning.,"Planning floor 1,000 independent event blocks; final N from paired-loss pilot variance and multiplicity-adjusted 80% power. Rows/fills are not independent events.",V1: expanding chronological development folds with purging by actual label availability; event-group lock; untouched future panel; family FDR discovery then prespecified confirmation.,"At adequate prespecified power, prospective uncertainty excludes the registered minimum useful improvement, or effect disappears with timing/quality controls. Wrong sign rejects signed mechanism. Imprecision is inconclusive, not success.","Clock/identity audit, Feature Store v2, source coverage and baseline panel first. Freeze book before trade; separate 0-5 second impact from 5-second-to-horizon change.",M: prospective feed/alignment pilot; planned 3-7 researcher-days; estimates exclude elapsed sample accumulation.,P1,High: discriminates a concrete mechanism from price/context or measurement artefact early.,E04;HYP,Designed; not executed; no edge established
H03,F03,Low-history wallet flow,Flow from wallets with little recorded history contains incremental information,No prospective improvement over the strongest development-selected price/context baseline on the identical eligible panel; apparent association is explained by listed controls.,"Flow from wallets with little recorded history contains incremental information; this is a hypothesis, not an established AREPO result.",sum(signed notional * 1[prior mature events <= k]) / total notional; retain count continuously,"wallet fills, first seen, coverage start, prior resolved events",PTRADE;PWALLET,https://docs.polymarket.com/api-reference/data-api/migrating-from-v1 | https://docs.polymarket.com/api-reference/data-api/migrating-from-v1,1h,15m;6h,T1 three-class clean midpoint movement; T2 log-odds change secondary,"Wallets with measured data coverage, including unranked wallets",Scheduled eligible-universe sample plus matched untriggered controls; event/time/liquidity/probability matching; inclusion probabilities retained. See shared protocol.,B0 no-change; B1 momentum; B2 price/context model; B3 current AREPO where reproducible; add-feature and leave-family-out comparisons.,History truncation; wallet rotation; bots; survivor selection,Chronological grouped paired-score comparison with event/date-cluster uncertainty; Bayesian partial-pooling effect plus simple/boosted challenger. Magnitude/time/error targets use their prespecified proper loss. No final-test tuning.,"Planning floor 2,000 independent event blocks; double for sparse interactions; final N from paired-loss pilot variance and multiplicity-adjusted 80% power. If unattainable report insufficient evidence.",V1: expanding chronological development folds with purging by actual label availability; event-group lock; untouched future panel; family FDR discovery then prespecified confirmation.,"At adequate prespecified power, prospective uncertainty excludes the registered minimum useful improvement, or effect disappears with timing/quality controls. Wrong sign rejects signed mechanism. Imprecision is inconclusive, not success.","Baseline panel, provenance and rights/access verification; then Fit prior-history count as spline; k sensitivity is development-only.",H: wallet/text/graph or sparse-event linkage; planned 1-3 researcher-weeks; estimates exclude elapsed sample accumulation.,P2,Medium: valuable conditional on prerequisite data quality and sufficient event diversity.,E15;HYP,Designed; not executed; no edge established
H04,F04,Newly observed wallet flow,Recently observed wallets predict repricing after controlling for size and history coverage,No prospective improvement over the strongest development-selected price/context baseline on the identical eligible panel; apparent association is explained by listed controls.,"Recently observed wallets predict repricing after controlling for size and history coverage; this is a hypothesis, not an established AREPO result.",signed notional weighted by exp(-observed wallet age / tau) / volume,"wallet first-seen time, chain creation if available, coverage boundary, fills",PWALLET;PCHAIN,https://docs.polymarket.com/api-reference/data-api/migrating-from-v1 | https://docs.polymarket.com/resources/contracts,1h,15m;6h,T1 three-class clean midpoint movement; T2 log-odds change secondary,Complete monitored wallet flow; distinguish fresh creation from fresh observation,Scheduled eligible-universe sample plus matched untriggered controls; event/time/liquidity/probability matching; inclusion probabilities retained. See shared protocol.,B0 no-change; B1 momentum; B2 price/context model; B3 current AREPO where reproducible; add-feature and leave-family-out comparisons.,Exchange deposit wallets and incomplete chain history mimic new wallets,Chronological grouped paired-score comparison with event/date-cluster uncertainty; Bayesian partial-pooling effect plus simple/boosted challenger. Magnitude/time/error targets use their prespecified proper loss. No final-test tuning.,"Planning floor 2,000 independent event blocks; double for sparse interactions; final N from paired-loss pilot variance and multiplicity-adjusted 80% power. If unattainable report insufficient evidence.",V1: expanding chronological development folds with purging by actual label availability; event-group lock; untouched future panel; family FDR discovery then prespecified confirmation.,"At adequate prespecified power, prospective uncertainty excludes the registered minimum useful improvement, or effect disappears with timing/quality controls. Wrong sign rejects signed mechanism. Imprecision is inconclusive, not success.","Baseline panel, provenance and rights/access verification; then Use coverage-matched established wallets; exclude protocol-created address migrations in a sensitivity arm.",H: wallet/text/graph or sparse-event linkage; planned 1-3 researcher-weeks; estimates exclude elapsed sample accumulation.,P2,Medium: valuable conditional on prerequisite data quality and sufficient event diversity.,HYP,Designed; not executed; no edge established
H05,F05,Wallet flow concentration,Concentrated directional flow adds information beyond aggregate imbalance,No prospective improvement over the strongest development-selected price/context baseline on the identical eligible panel; apparent association is explained by listed controls.,"Concentrated directional flow adds information beyond aggregate imbalance; this is a hypothesis, not an established AREPO result.",HHI=sum_w(abs(net_flow_w)/sum_abs_net_flow)^2; sign separate,"per-wallet buys,sells,net inventory change; total volume",PWALLET;PTRADE,https://docs.polymarket.com/api-reference/data-api/migrating-from-v1 | https://docs.polymarket.com/api-reference/data-api/migrating-from-v1,1h,15m;6h,T1 three-class clean midpoint movement; T2 log-odds change secondary,Markets with enough attributed flow and recorded unassigned share,Scheduled eligible-universe sample plus matched untriggered controls; event/time/liquidity/probability matching; inclusion probabilities retained. See shared protocol.,B0 no-change; B1 momentum; B2 price/context model; B3 current AREPO where reproducible; add-feature and leave-family-out comparisons.,One entity can use many wallets; hedges and market makers,Chronological grouped paired-score comparison with event/date-cluster uncertainty; Bayesian partial-pooling effect plus simple/boosted challenger. Magnitude/time/error targets use their prespecified proper loss. No final-test tuning.,"Planning floor 2,000 independent event blocks; double for sparse interactions; final N from paired-loss pilot variance and multiplicity-adjusted 80% power. If unattainable report insufficient evidence.",V1: expanding chronological development folds with purging by actual label availability; event-group lock; untouched future panel; family FDR discovery then prespecified confirmation.,"At adequate prespecified power, prospective uncertainty excludes the registered minimum useful improvement, or effect disappears with timing/quality controls. Wrong sign rejects signed mechanism. Imprecision is inconclusive, not success.","Clock/identity audit, Feature Store v2, source coverage and baseline panel first. Compare trade-size concentration with wallet concentration; retain unresolved attribution.",H: wallet/text/graph or sparse-event linkage; planned 1-3 researcher-weeks; estimates exclude elapsed sample accumulation.,P1,High: discriminates a concrete mechanism from price/context or measurement artefact early.,E14;HYP,Designed; not executed; no edge established
H06,F06,Historical wallet posterior skill,Mature-history wallet skill predicts future flow usefulness,No prospective improvement over the strongest development-selected price/context baseline on the identical eligible panel; apparent association is explained by listed controls.,"Mature-history wallet skill predicts future flow usefulness; this is a hypothesis, not an established AREPO result.","hierarchical posterior mean of past mature excess score over entry-price baseline, weighted by current signed flow","as-of entries,prices,labels,fees,exposure,category; posterior variance",PWALLET;PTRADE,https://docs.polymarket.com/api-reference/data-api/migrating-from-v1 | https://docs.polymarket.com/api-reference/data-api/migrating-from-v1,6h,1h;24h,T1 three-class clean midpoint movement; T2 log-odds change secondary,History contains at least two earlier independent labelled events; shrink all others,Scheduled eligible-universe sample plus matched untriggered controls; event/time/liquidity/probability matching; inclusion probabilities retained. See shared protocol.,B0 no-change; B1 momentum; B2 price/context model; B3 current AREPO where reproducible; add-feature and leave-family-out comparisons.,"Late entry, luck, bankroll, category specialism and profitable arbitrage",Chronological grouped paired-score comparison with event/date-cluster uncertainty; Bayesian partial-pooling effect plus simple/boosted challenger. Magnitude/time/error targets use their prespecified proper loss. No final-test tuning.,"Planning floor 2,000 independent event blocks; double for sparse interactions; final N from paired-loss pilot variance and multiplicity-adjusted 80% power. If unattainable report insufficient evidence.",V1: expanding chronological development folds with purging by actual label availability; event-group lock; untouched future panel; family FDR discovery then prespecified confirmation.,"At adequate prespecified power, prospective uncertainty excludes the registered minimum useful improvement, or effect disappears with timing/quality controls. Wrong sign rejects signed mechanism. Imprecision is inconclusive, not success.","Clock/identity audit, Feature Store v2, source coverage and baseline panel first. Score history only after label availability; compare win rate, P&L and price-adjusted score with shrinkage.",H: wallet/text/graph or sparse-event linkage; planned 1-3 researcher-weeks; estimates exclude elapsed sample accumulation.,P1,High: discriminates a concrete mechanism from price/context or measurement artefact early.,E10;E15;E24,Designed; not executed; no edge established
H07,F07,Consensus-opposing flow,Flow against the currently favoured outcome forecasts reversal or improved calibration,No prospective improvement over the strongest development-selected price/context baseline on the identical eligible panel; apparent association is explained by listed controls.,"Flow against the currently favoured outcome forecasts reversal or improved calibration; this is a hypothesis, not an established AREPO result.",sum signed notional against sign(midpoint-0.5) / total notional; direction retained,midpoint before fill; signed fills; probability regime,PTRADE;PBOOK,https://docs.polymarket.com/api-reference/data-api/migrating-from-v1 | https://docs.polymarket.com/market-data/realtime-data,1h,15m;6h,T1 three-class clean midpoint movement; T2 log-odds change secondary,Binary mapped outcomes with contemporaneous midpoint,Scheduled eligible-universe sample plus matched untriggered controls; event/time/liquidity/probability matching; inclusion probabilities retained. See shared protocol.,B0 no-change; B1 momentum; B2 price/context model; B3 current AREPO where reproducible; add-feature and leave-family-out comparisons.,Favourite-longshot effects; classification around 0.5; informed hedging,Chronological grouped paired-score comparison with event/date-cluster uncertainty; Bayesian partial-pooling effect plus simple/boosted challenger. Magnitude/time/error targets use their prespecified proper loss. No final-test tuning.,"Planning floor 1,000 independent event blocks; final N from paired-loss pilot variance and multiplicity-adjusted 80% power. Rows/fills are not independent events.",V1: expanding chronological development folds with purging by actual label availability; event-group lock; untouched future panel; family FDR discovery then prespecified confirmation.,"At adequate prespecified power, prospective uncertainty excludes the registered minimum useful improvement, or effect disappears with timing/quality controls. Wrong sign rejects signed mechanism. Imprecision is inconclusive, not success.","Clock/identity audit, Feature Store v2, source coverage and baseline panel first. Use continuous interaction between flow and log-odds; preregister reversal versus continuation sign.",M: prospective feed/alignment pilot; planned 3-7 researcher-days; estimates exclude elapsed sample accumulation.,P1,High: discriminates a concrete mechanism from price/context or measurement artefact early.,E10;HYP,Designed; not executed; no edge established
H08,F08,Top-level book imbalance,Queue imbalance predicts the next clean midpoint move,No prospective improvement over the strongest development-selected price/context baseline on the identical eligible panel; apparent association is explained by listed controls.,"Queue imbalance predicts the next clean midpoint move; this is a hypothesis, not an established AREPO result.",(bid_size_1-ask_size_1)/(bid_size_1+ask_size_1),"best bid/ask prices,sizes,age,tick",PBOOK,https://docs.polymarket.com/market-data/realtime-data,1m,5m;15m,T1 three-class clean midpoint movement; T2 log-odds change secondary,Fresh two-sided continuous books with positive depth,Scheduled eligible-universe sample plus matched untriggered controls; event/time/liquidity/probability matching; inclusion probabilities retained. See shared protocol.,B0 no-change; B1 momentum; B2 price/context model; B3 current AREPO where reproducible; add-feature and leave-family-out comparisons.,Spoof-like transient quotes; price regime; spread; tick size,Chronological grouped paired-score comparison with event/date-cluster uncertainty; Bayesian partial-pooling effect plus simple/boosted challenger. Magnitude/time/error targets use their prespecified proper loss. No final-test tuning.,"Planning floor 1,000 independent event blocks; final N from paired-loss pilot variance and multiplicity-adjusted 80% power. Rows/fills are not independent events.",V1: expanding chronological development folds with purging by actual label availability; event-group lock; untouched future panel; family FDR discovery then prespecified confirmation.,"At adequate prespecified power, prospective uncertainty excludes the registered minimum useful improvement, or effect disappears with timing/quality controls. Wrong sign rejects signed mechanism. Imprecision is inconclusive, not success.","Clock/identity audit, Feature Store v2, source coverage and baseline panel first. Compare against identical momentum and spread state; confirm persistence beyond one tick.",M: prospective feed/alignment pilot; planned 3-7 researcher-days; estimates exclude elapsed sample accumulation.,P1,High: discriminates a concrete mechanism from price/context or measurement artefact early.,E05,Designed; not executed; no edge established
H09,F09,Microprice displacement,Microprice displacement predicts repricing more precisely than imbalance alone,No prospective improvement over the strongest development-selected price/context baseline on the identical eligible panel; apparent association is explained by listed controls.,"Microprice displacement predicts repricing more precisely than imbalance alone; this is a hypothesis, not an established AREPO result.",(ask*bid_size+bid*ask_size)/(bid_size+ask_size)-midpoint,best prices and sizes,PBOOK,https://docs.polymarket.com/market-data/realtime-data,1m,5m;15m,T1 three-class clean midpoint movement; T2 log-odds change secondary,Fresh two-sided books; tick and spread recorded,Scheduled eligible-universe sample plus matched untriggered controls; event/time/liquidity/probability matching; inclusion probabilities retained. See shared protocol.,B0 no-change; B1 momentum; B2 price/context model; B3 current AREPO where reproducible; add-feature and leave-family-out comparisons.,Algebraic overlap with imbalance and spread; apparent independent signal is redundant,Chronological grouped paired-score comparison with event/date-cluster uncertainty; Bayesian partial-pooling effect plus simple/boosted challenger. Magnitude/time/error targets use their prespecified proper loss. No final-test tuning.,"Planning floor 1,000 independent event blocks; final N from paired-loss pilot variance and multiplicity-adjusted 80% power. Rows/fills are not independent events.",V1: expanding chronological development folds with purging by actual label availability; event-group lock; untouched future panel; family FDR discovery then prespecified confirmation.,"At adequate prespecified power, prospective uncertainty excludes the registered minimum useful improvement, or effect disappears with timing/quality controls. Wrong sign rejects signed mechanism. Imprecision is inconclusive, not success.","Clock/identity audit, Feature Store v2, source coverage and baseline panel first. Compare imbalance+spread+interaction baseline; reject novelty if microprice adds nothing.",M: prospective feed/alignment pilot; planned 3-7 researcher-days; estimates exclude elapsed sample accumulation.,P1,High: discriminates a concrete mechanism from price/context or measurement artefact early.,E05;HYP,Designed; not executed; no edge established
H10,F10,Depth withdrawal,Asymmetric depth withdrawal precedes a move beyond contemporaneous traded flow,No prospective improvement over the strongest development-selected price/context baseline on the identical eligible panel; apparent association is explained by listed controls.,"Asymmetric depth withdrawal precedes a move beyond contemporaneous traded flow; this is a hypothesis, not an established AREPO result.",-change(executable ask depth minus bid depth) / previous total depth,"sequenced level updates, snapshots, trade records",PBOOK;PTRADE,https://docs.polymarket.com/market-data/realtime-data | https://docs.polymarket.com/api-reference/data-api/migrating-from-v1,5m,1m;15m,T1 three-class clean midpoint movement; T2 log-odds change secondary,Gap-free windows with valid reconciliation,Scheduled eligible-universe sample plus matched untriggered controls; event/time/liquidity/probability matching; inclusion probabilities retained. See shared protocol.,B0 no-change; B1 momentum; B2 price/context model; B3 current AREPO where reproducible; add-feature and leave-family-out comparisons.,Cancellations cannot be inferred from snapshots alone; trades consume depth,Chronological grouped paired-score comparison with event/date-cluster uncertainty; Bayesian partial-pooling effect plus simple/boosted challenger. Magnitude/time/error targets use their prespecified proper loss. No final-test tuning.,"Planning floor 1,000 independent event blocks; final N from paired-loss pilot variance and multiplicity-adjusted 80% power. Rows/fills are not independent events.",V1: expanding chronological development folds with purging by actual label availability; event-group lock; untouched future panel; family FDR discovery then prespecified confirmation.,"At adequate prespecified power, prospective uncertainty excludes the registered minimum useful improvement, or effect disappears with timing/quality controls. Wrong sign rejects signed mechanism. Imprecision is inconclusive, not success.","Clock/identity audit, Feature Store v2, source coverage and baseline panel first. Subtract identified executions; retain ambiguous updates and test with/without them.",M: prospective feed/alignment pilot; planned 3-7 researcher-days; estimates exclude elapsed sample accumulation.,P1,High: discriminates a concrete mechanism from price/context or measurement artefact early.,E04;HYP,Designed; not executed; no edge established
