feature_id,name,definition,raw_inputs,availability,versions,units,transformations,windows,mechanism,evidence,interactions,missingness,confounders,source_codes,current_availability,falsification,priority
F01,Large trade relative to market liquidity,signed trade notional / pre-trade Gamma liquidity,"trade price,size,side; liquidity value and observation time","All inputs received, parsed and available by feature cutoff; lagged pre-trade values for denominators; historical labels must mature before cutoff.","Feature/formula, schema/parser, source and mapping versions; model/prompt/embedding versions where applicable.",Native units retained; ratios dimensionless where numerator and denominator are commensurate; prices per share and time units explicit.,Retain raw values and denominators; standardise on training only; compare linear versus spline/tree; log1p only for nonnegative magnitudes with sign separate.,"Primary 15m forecast; trailing feature window defined in formula, otherwise preregister 1m/5m/1h development candidates and freeze selection.",Size relative to market liquidity predicts continuation beyond prior returns,E04;HYP,Compare liquidity-normalised size with raw size and depth-normalised size on identical fills.,Explicit unavailable/stale/truncated/invalid/not-applicable reason; never replace missing by zero; coverage and denominator-zero flags retained.,Liquidity definition may differ from executable depth; price impact already occurred,PTRADE;PGAMMA,Not established as a complete causal historical series in AREPO; prospective collection or separately labelled reconstruction required.,"H01; fail incremental prospective test after timing and baseline controls, or report underpowered.",P1
F02,Large trade relative to executable depth,signed trade notional / pre-trade same-side executable notional within 1 percentage point,"fill price,size,side; all book levels before fill","All inputs received, parsed and available by feature cutoff; lagged pre-trade values for denominators; historical labels must mature before cutoff.","Feature/formula, schema/parser, source and mapping versions; model/prompt/embedding versions where applicable.",Native units retained; ratios dimensionless where numerator and denominator are commensurate; prices per share and time units explicit.,Retain raw values and denominators; standardise on training only; compare linear versus spline/tree; log1p only for nonnegative magnitudes with sign separate.,"Primary 5m forecast; trailing feature window defined in formula, otherwise preregister 1m/5m/1h development candidates and freeze selection.",Depth-normalised flow predicts later continuation better than absolute size,E04;HYP,Freeze book before trade; separate 0-5 second impact from 5-second-to-horizon change.,Explicit unavailable/stale/truncated/invalid/not-applicable reason; never replace missing by zero; coverage and denominator-zero flags retained.,Using post-trade depleted depth creates mechanical endogeneity,PTRADE;PBOOK,Not established as a complete causal historical series in AREPO; prospective collection or separately labelled reconstruction required.,"H02; fail incremental prospective test after timing and baseline controls, or report underpowered.",P1
F03,Low-history wallet flow,sum(signed notional * 1[prior mature events <= k]) / total notional; retain count continuously,"wallet fills, first seen, coverage start, prior resolved events","All inputs received, parsed and available by feature cutoff; lagged pre-trade values for denominators; historical labels must mature before cutoff.","Feature/formula, schema/parser, source and mapping versions; model/prompt/embedding versions where applicable.",Native units retained; ratios dimensionless where numerator and denominator are commensurate; prices per share and time units explicit.,Retain raw values and denominators; standardise on training only; compare linear versus spline/tree; log1p only for nonnegative magnitudes with sign separate.,"Primary 1h forecast; trailing feature window defined in formula, otherwise preregister 1m/5m/1h development candidates and freeze selection.",Flow from wallets with little recorded history contains incremental information,E15;HYP,Fit prior-history count as spline; k sensitivity is development-only.,Explicit unavailable/stale/truncated/invalid/not-applicable reason; never replace missing by zero; coverage and denominator-zero flags retained.,History truncation; wallet rotation; bots; survivor selection,PTRADE;PWALLET,Not established as a complete causal historical series in AREPO; prospective collection or separately labelled reconstruction required.,"H03; fail incremental prospective test after timing and baseline controls, or report underpowered.",P2
F04,Newly observed wallet flow,signed notional weighted by exp(-observed wallet age / tau) / volume,"wallet first-seen time, chain creation if available, coverage boundary, fills","All inputs received, parsed and available by feature cutoff; lagged pre-trade values for denominators; historical labels must mature before cutoff.","Feature/formula, schema/parser, source and mapping versions; model/prompt/embedding versions where applicable.",Native units retained; ratios dimensionless where numerator and denominator are commensurate; prices per share and time units explicit.,Retain raw values and denominators; standardise on training only; compare linear versus spline/tree; log1p only for nonnegative magnitudes with sign separate.,"Primary 1h forecast; trailing feature window defined in formula, otherwise preregister 1m/5m/1h development candidates and freeze selection.",Recently observed wallets predict repricing after controlling for size and history coverage,HYP,Use coverage-matched established wallets; exclude protocol-created address migrations in a sensitivity arm.,Explicit unavailable/stale/truncated/invalid/not-applicable reason; never replace missing by zero; coverage and denominator-zero flags retained.,Exchange deposit wallets and incomplete chain history mimic new wallets,PWALLET;PCHAIN,Not established as a complete causal historical series in AREPO; prospective collection or separately labelled reconstruction required.,"H04; fail incremental prospective test after timing and baseline controls, or report underpowered.",P2
F05,Wallet flow concentration,HHI=sum_w(abs(net_flow_w)/sum_abs_net_flow)^2; sign separate,"per-wallet buys,sells,net inventory change; total volume","All inputs received, parsed and available by feature cutoff; lagged pre-trade values for denominators; historical labels must mature before cutoff.","Feature/formula, schema/parser, source and mapping versions; model/prompt/embedding versions where applicable.",Native units retained; ratios dimensionless where numerator and denominator are commensurate; prices per share and time units explicit.,Retain raw values and denominators; standardise on training only; compare linear versus spline/tree; log1p only for nonnegative magnitudes with sign separate.,"Primary 1h forecast; trailing feature window defined in formula, otherwise preregister 1m/5m/1h development candidates and freeze selection.",Concentrated directional flow adds information beyond aggregate imbalance,E14;HYP,Compare trade-size concentration with wallet concentration; retain unresolved attribution.,Explicit unavailable/stale/truncated/invalid/not-applicable reason; never replace missing by zero; coverage and denominator-zero flags retained.,One entity can use many wallets; hedges and market makers,PWALLET;PTRADE,Not established as a complete causal historical series in AREPO; prospective collection or separately labelled reconstruction required.,"H05; fail incremental prospective test after timing and baseline controls, or report underpowered.",P1
F06,Historical wallet posterior skill,"hierarchical posterior mean of past mature excess score over entry-price baseline, weighted by current signed flow","as-of entries,prices,labels,fees,exposure,category; posterior variance","All inputs received, parsed and available by feature cutoff; lagged pre-trade values for denominators; historical labels must mature before cutoff.","Feature/formula, schema/parser, source and mapping versions; model/prompt/embedding versions where applicable.",Native units retained; ratios dimensionless where numerator and denominator are commensurate; prices per share and time units explicit.,Retain raw values and denominators; standardise on training only; compare linear versus spline/tree; log1p only for nonnegative magnitudes with sign separate.,"Primary 6h forecast; trailing feature window defined in formula, otherwise preregister 1m/5m/1h development candidates and freeze selection.",Mature-history wallet skill predicts future flow usefulness,E10;E15;E24,"Score history only after label availability; compare win rate, P&L and price-adjusted score with shrinkage.",Explicit unavailable/stale/truncated/invalid/not-applicable reason; never replace missing by zero; coverage and denominator-zero flags retained.,"Late entry, luck, bankroll, category specialism and profitable arbitrage",PWALLET;PTRADE,Not established as a complete causal historical series in AREPO; prospective collection or separately labelled reconstruction required.,"H06; fail incremental prospective test after timing and baseline controls, or report underpowered.",P1
F07,Consensus-opposing flow,sum signed notional against sign(midpoint-0.5) / total notional; direction retained,midpoint before fill; signed fills; probability regime,"All inputs received, parsed and available by feature cutoff; lagged pre-trade values for denominators; historical labels must mature before cutoff.","Feature/formula, schema/parser, source and mapping versions; model/prompt/embedding versions where applicable.",Native units retained; ratios dimensionless where numerator and denominator are commensurate; prices per share and time units explicit.,Retain raw values and denominators; standardise on training only; compare linear versus spline/tree; log1p only for nonnegative magnitudes with sign separate.,"Primary 1h forecast; trailing feature window defined in formula, otherwise preregister 1m/5m/1h development candidates and freeze selection.",Flow against the currently favoured outcome forecasts reversal or improved calibration,E10;HYP,Use continuous interaction between flow and log-odds; preregister reversal versus continuation sign.,Explicit unavailable/stale/truncated/invalid/not-applicable reason; never replace missing by zero; coverage and denominator-zero flags retained.,Favourite-longshot effects; classification around 0.5; informed hedging,PTRADE;PBOOK,Not established as a complete causal historical series in AREPO; prospective collection or separately labelled reconstruction required.,"H07; fail incremental prospective test after timing and baseline controls, or report underpowered.",P1
F08,Top-level book imbalance,(bid_size_1-ask_size_1)/(bid_size_1+ask_size_1),"best bid/ask prices,sizes,age,tick","All inputs received, parsed and available by feature cutoff; lagged pre-trade values for denominators; historical labels must mature before cutoff.","Feature/formula, schema/parser, source and mapping versions; model/prompt/embedding versions where applicable.",Native units retained; ratios dimensionless where numerator and denominator are commensurate; prices per share and time units explicit.,Retain raw values and denominators; standardise on training only; compare linear versus spline/tree; log1p only for nonnegative magnitudes with sign separate.,"Primary 1m forecast; trailing feature window defined in formula, otherwise preregister 1m/5m/1h development candidates and freeze selection.",Queue imbalance predicts the next clean midpoint move,E05,Compare against identical momentum and spread state; confirm persistence beyond one tick.,Explicit unavailable/stale/truncated/invalid/not-applicable reason; never replace missing by zero; coverage and denominator-zero flags retained.,Spoof-like transient quotes; price regime; spread; tick size,PBOOK,Some frozen primitives may support exploratory reconstruction; source-clock and grouping limitations apply.,"H08; fail incremental prospective test after timing and baseline controls, or report underpowered.",P1
F09,Microprice displacement,(ask*bid_size+bid*ask_size)/(bid_size+ask_size)-midpoint,best prices and sizes,"All inputs received, parsed and available by feature cutoff; lagged pre-trade values for denominators; historical labels must mature before cutoff.","Feature/formula, schema/parser, source and mapping versions; model/prompt/embedding versions where applicable.",Native units retained; ratios dimensionless where numerator and denominator are commensurate; prices per share and time units explicit.,Retain raw values and denominators; standardise on training only; compare linear versus spline/tree; log1p only for nonnegative magnitudes with sign separate.,"Primary 1m forecast; trailing feature window defined in formula, otherwise preregister 1m/5m/1h development candidates and freeze selection.",Microprice displacement predicts repricing more precisely than imbalance alone,E05;HYP,Compare imbalance+spread+interaction baseline; reject novelty if microprice adds nothing.,Explicit unavailable/stale/truncated/invalid/not-applicable reason; never replace missing by zero; coverage and denominator-zero flags retained.,Algebraic overlap with imbalance and spread; apparent independent signal is redundant,PBOOK,Some frozen primitives may support exploratory reconstruction; source-clock and grouping limitations apply.,"H09; fail incremental prospective test after timing and baseline controls, or report underpowered.",P1
F10,Depth withdrawal,-change(executable ask depth minus bid depth) / previous total depth,"sequenced level updates, snapshots, trade records","All inputs received, parsed and available by feature cutoff; lagged pre-trade values for denominators; historical labels must mature before cutoff.","Feature/formula, schema/parser, source and mapping versions; model/prompt/embedding versions where applicable.",Native units retained; ratios dimensionless where numerator and denominator are commensurate; prices per share and time units explicit.,Retain raw values and denominators; standardise on training only; compare linear versus spline/tree; log1p only for nonnegative magnitudes with sign separate.,"Primary 5m forecast; trailing feature window defined in formula, otherwise preregister 1m/5m/1h development candidates and freeze selection.",Asymmetric depth withdrawal precedes a move beyond contemporaneous traded flow,E04;HYP,Subtract identified executions; retain ambiguous updates and test with/without them.,Explicit unavailable/stale/truncated/invalid/not-applicable reason; never replace missing by zero; coverage and denominator-zero flags retained.,Cancellations cannot be inferred from snapshots alone; trades consume depth,PBOOK;PTRADE,Not established as a complete causal historical series in AREPO; prospective collection or separately labelled reconstruction required.,"H10; fail incremental prospective test after timing and baseline controls, or report underpowered.",P1
