entity,field,type,required,meaning,preservation,as_of_rule
identity,venue,string,required,source namespace,Permanent for registered research observations and lineage; raw source coverage policy in Feature Store v2,Dependencies available by feature cutoff; no retrospective overwrite
identity,market_id,string,required,native ID,Permanent for registered research observations and lineage; raw source coverage policy in Feature Store v2,Dependencies available by feature cutoff; no retrospective overwrite
identity,event_id,string,nullable,Gamma event ID; missing remains unknown,Permanent for registered research observations and lineage; raw source coverage policy in Feature Store v2,Dependencies available by feature cutoff; no retrospective overwrite
identity,event_group_id,string,nullable,versioned economic event group,Permanent for registered research observations and lineage; raw source coverage policy in Feature Store v2,Dependencies available by feature cutoff; no retrospective overwrite
identity,condition_id,hex32,nullable,chain condition identity,Permanent for registered research observations and lineage; raw source coverage policy in Feature Store v2,Dependencies available by feature cutoff; no retrospective overwrite
identity,question_id,hex32,nullable,oracle question identity,Permanent for registered research observations and lineage; raw source coverage policy in Feature Store v2,Dependencies available by feature cutoff; no retrospective overwrite
identity,token_id,exact integer string,nullable,never binary float,Permanent for registered research observations and lineage; raw source coverage policy in Feature Store v2,Dependencies available by feature cutoff; no retrospective overwrite
identity,outcome_index,integer,nullable,source outcome position,Permanent for registered research observations and lineage; raw source coverage policy in Feature Store v2,Dependencies available by feature cutoff; no retrospective overwrite
identity,outcome_label,string,nullable,versioned descriptive label,Permanent for registered research observations and lineage; raw source coverage policy in Feature Store v2,Dependencies available by feature cutoff; no retrospective overwrite
identity,chain_id,integer,nullable,EVM chain namespace,Permanent for registered research observations and lineage; raw source coverage policy in Feature Store v2,Dependencies available by feature cutoff; no retrospective overwrite
identity,token_contract,address,nullable,token contract identity,Permanent for registered research observations and lineage; raw source coverage policy in Feature Store v2,Dependencies available by feature cutoff; no retrospective overwrite
identity,collateral_address,address,nullable,source settlement currency,Permanent for registered research observations and lineage; raw source coverage policy in Feature Store v2,Dependencies available by feature cutoff; no retrospective overwrite
identity,collateral_decimals,integer,nullable,scale for native token units,Permanent for registered research observations and lineage; raw source coverage policy in Feature Store v2,Dependencies available by feature cutoff; no retrospective overwrite
